排名,电影名,评分,评论数,上映时间
57,指环王1：护戒使者,9.1,890445,2002-04-04
58,美丽心灵,9.1,803990,2001-12-13
59,一一,9.1,432303,2000-05-14
60,拯救大兵瑞恩,9.1,677783,1998-11-13
61,音乐之声,9.1,633961,1965-03-02
62,两杆大烟枪,9.1,625978,1998-08-28
63,飞越疯人院,9.1,570104,1975-11-19
64,我不是药神,9.0,2199799,2018-07-05
65,城市之光,9.3,156925,1931-01-30
66,南海十三郎,9.3,86497,1997-05-15
67,让子弹飞,9.0,1783969,2010-12-16
68,狩猎,9.1,420204,2012-05-20
69,摔跤吧！爸爸,9.0,1635019,2017-05-05
70,未麻的部屋,9.1,374613,1997-08-05
71,忠犬八公物语,9.2,205073,1987-08-01
72,春光乍泄,9.0,663848,1997-05-17
73,无人知晓,9.1,341533,2004-05-13
74,完美的世界,9.1,333438,1993-11-24
75,本杰明·巴顿奇事,9.0,1031949,2008-12-25
76,搏击俱乐部,9.0,892175,1999-09-10
77,心灵捕手,9.0,757553,1997-12-05
78,喜宴,9.0,389133,1993-08-04
79,超脱,9.0,652015,2011-04-25
80,城南旧事,9.1,133442,1983
81,小森林 夏秋篇,9.0,444031,2014-08-30
82,玛丽和马克思,9.0,435005,2009-01-15
83,绿皮书,8.9,1739976,2019-03-01
84,教父3,9.0,396792,1990-12-25
85,小森林 冬春篇,9.0,395607,2015-02-14
86,我是山姆,9.0,353820,2001-12-03
87,无间道(正序版),9.2,78230,2006
88,情书,8.9,1181798,1995-03-25
89,甜蜜蜜,8.9,602963,2015-02-13
90,禁闭岛,8.9,1031324,2010-02-13
91,西西里的美丽传说,8.9,1023426,2000-10-27
92,布达佩斯大饭店,8.9,997709,2014-02-06
93,蝴蝶效应,8.9,986893,2004-01-23
94,沉默的羔羊,8.9,939605,1991-02-14
95,生活多美好,9.3,105562,1946-12-20
96,上帝之城,9.0,313304,2002-05-18
97,致命魔术,8.9,902123,2006-10-17
98,低俗小说,8.9,882661,1994-05-12
99,致命ID,8.9,873051,2003-04-25
100,杀人回忆,8.9,763118,2003-05-02
101,蝙蝠侠：黑暗骑士崛起,8.9,759282,2012-08-27
102,控方证人,9.4,84304,1982-12-04
103,入殓师,8.9,700155,2021-10-29
104,菊次郎的夏天,8.9,627291,2020-09-25
105,爱在日落黄昏时,8.9,595971,2004-02-10
106,牯岭街少年杀人事件,8.9,327184,1991-07-27
107,第六感,8.9,586695,1999-08-06
108,7号房的礼物,8.9,583361,2013-01-23
109,勇敢的心,8.9,576952,1995-05-18
110,可可西里,8.9,319333,2004-10-01
111,萤火之森,8.9,568329,2011-09-17
112,东京教父,9.0,253824,2003-11-08
113,牧马人,9.1,90685,1982
114,一个叫欧维的男人决定去死,8.9,515523,2015-12-25
115,侧耳倾听,8.9,488552,1995-07-15
116,新世界,8.9,475450,2013-02-21
117,爱在午夜降临前,8.9,429498,2013-06-14
